,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23
"f(0,0)",-1.3604515e-08,2.9894263e-08,1.3604513e-08,-3.1614467e-09,-2.9894267e-08,3.1614464e-09,-4.6748765e-09,1.4277983e-09,4.6748765e-09,-1.1563906e-08,-1.4277983e-09,1.1563906e-08,-1.8704563e-08,-7.0029573e-09,1.8704563e-08,3.9109773e-09,7.0029555e-09,-8.2918845e-09,-5.5998957e-09,-1.2748142e-08,2.163353e-08,1.274814e-08,5.5998974e-09,-2.163353e-08
"f(0,1)",0.08775542,-0.222435,-0.08775541,0.02797814,0.22243503,-0.02797814,0.05446496,-0.008840397,-0.05446496,0.09354839,0.00884039,-0.09354839,0.1473541,0.05736793,-0.1473541,-0.031181674,-0.057367913,0.076235786,0.04434991,0.09447245,-0.17012319,-0.09447246,-0.0443499,0.1701232
"f(0,2)",-0.2431652,0.10858647,0.2431652,0.06733988,-0.108586475,-0.06733988,0.26225764,0.054501723,-0.26225764,0.03799838,-0.05450173,-0.037998393,0.057364333,0.042146206,-0.05736434,-0.031649563,-0.04214622,0.18020627,0.010013353,-0.048407942,-0.044683337,0.04840794,-0.010013355,0.044683337
"f(1,0)",0.005605001,-0.03591875,-0.005605001,-0.010641088,0.035918757,0.010641087,0.057449322,0.14012614,-0.05744932,0.05103664,-0.14012614,-0.051036634,-0.026711855,-0.045553505,0.026711848,-0.04174152,0.04555352,0.018803658,-0.0727335,0.08234316,0.027492609,-0.08234315,0.07273351,-0.027492642
"f(1,1)",-1.0430813e-07,5.5879354e-08,1.0430813e-07,8.195639e-08,-5.5879354e-08,-8.940697e-08,1.0430813e-07,2.3981556e-08,-1.0430813e-07,1.3969839e-09,-2.4214387e-08,-9.313226e-10,-2.9802322e-08,-3.7252903e-09,2.9802322e-08,2.9802322e-08,3.7252903e-09,1.4901161e-08,-4.8428774e-08,-2.9802322e-08,2.9802322e-08,2.9802322e-08,5.2154064e-08,-2.2351742e-08
"f(1,2)",0.01830493,-0.08465725,-0.018304914,-0.015809163,0.08465727,0.015809163,0.03452324,0.14521082,-0.03452324,-0.047969658,-0.14521083,0.04796966,0.10352352,0.06952198,-0.10352353,-0.02284354,-0.06952196,0.005342111,-0.022372484,0.13847235,-0.0058096647,-0.13847233,0.022372484,0.00580965
"f(2,0)",0.028035525,0.057092078,-0.028035514,-0.20925261,-0.0570921,0.20925261,-0.10962467,-0.14441174,0.109624684,0.011706047,0.14441171,-0.011706052,0.055484027,0.16991085,-0.055484023,0.06901334,-0.16991085,-0.01716931,0.09689284,-0.022239774,0.043899357,0.02223976,-0.09689283,-0.043899357
"f(2,1)",0.06130147,-0.09918648,-0.061301455,0.07181439,0.09918648,-0.0718144,-0.03407483,-0.091831826,0.03407484,-0.02636417,0.09183184,0.026364164,0.14357571,-0.021191116,-0.14357573,-0.16163701,0.021191118,0.17083949,0.07072727,-0.107343294,-0.1085424,0.10734326,-0.07072729,0.10854237
"f(2,2)",-8.940697e-08,-8.195639e-08,8.940697e-08,-2.9802322e-08,9.313226e-08,2.9802322e-08,5.9604645e-08,-1.4901161e-08,-5.9604645e-08,3.7252903e-08,2.9802322e-08,-4.4703484e-08,2.6077032e-08,4.4237822e-08,-2.2351742e-08,2.6077032e-08,-4.5634806e-08,2.2351742e-08,0.0,-4.4703484e-08,4.4703484e-08,5.9604645e-08,-9.313226e-09,-2.9802322e-08
"fext(0,0)",0.0,-1.4901161e-08,-7.450581e-09,3.5390258e-08,0.0,-3.7252903e-08,-4.0978193e-08,-7.450581e-09,2.9802322e-08,2.2351742e-08,-7.450581e-09,-1.4901161e-08,1.4901161e-08,7.450581e-09,-2.9802322e-08,-1.0244548e-08,-3.7252903e-09,4.0978193e-08,-1.4901161e-08,1.4901161e-08,-4.4703484e-08,3.7252903e-09,1.4901161e-08,-1.4901161e-08
"fext(0,1)",-0.08775538,0.22243503,0.08775537,-0.027978139,-0.22243506,0.027978135,-0.054464914,0.008840414,0.054464914,-0.09354842,-0.008840421,0.0935484,-0.14735413,-0.057367917,0.14735413,0.031181682,0.057367906,-0.07623577,-0.04434991,-0.09447247,0.1701232,0.09447248,0.044349905,-0.17012319
"fext(0,2)",0.24316522,-0.10858646,-0.24316522,-0.067339845,0.10858646,0.06733984,-0.26225758,-0.054501668,0.2622576,-0.037998416,0.054501668,0.03799842,-0.05736425,-0.0421462,0.05736426,0.03164949,0.042146225,-0.18020618,-0.010013161,0.048407957,0.04468324,-0.048407942,0.010013191,-0.044683225
"fext(1,0)",-0.00560499,0.03591876,0.00560499,0.010641083,-0.035918754,-0.010641079,-0.05744935,-0.14012612,0.05744935,-0.051036593,0.14012611,0.05103658,0.026711896,0.045553505,-0.02671187,0.041741505,-0.04555351,-0.018803619,0.07273352,-0.08234315,-0.027492613,0.08234316,-0.07273351,0.027492665
"fext(1,1)",1.2293458e-07,-3.0733645e-08,-1.09896064e-07,2.6077032e-08,5.727634e-08,-2.9802322e-08,-3.7252903e-08,3.7252903e-09,3.5390258e-08,-1.4901161e-08,-1.1175871e-08,1.4901161e-08,7.450581e-09,-2.2351742e-08,0.0,-7.4505806e-08,2.0489097e-08,4.4703484e-08,-3.7252903e-09,-2.2351742e-08,1.4901161e-08,3.7252903e-08,1.4901161e-08,-3.7252903e-09
"fext(1,2)",-0.018304897,0.084657304,0.018304896,0.015809149,-0.08465728,-0.01580915,-0.03452324,-0.14521068,0.034523256,0.04796962,0.1452107,-0.047969624,-0.10352354,-0.06952195,0.10352355,0.022843549,0.06952195,-0.0053420924,0.022372464,-0.13847235,0.005809674,0.13847233,-0.022372456,-0.0058097113
"fext(2,0)",-0.02803548,-0.05709207,0.02803548,0.20925263,0.057092063,-0.20925263,0.10962468,0.14441164,-0.10962467,-0.011706057,-0.14441164,0.0117060505,-0.05548401,-0.16991086,0.055484008,-0.069013365,0.16991086,0.0171693,-0.09689277,0.022239756,-0.043899395,-0.022239748,0.096892774,0.043899417
"fext(2,1)",-0.06130125,0.099186346,0.06130126,-0.07181433,-0.09918636,0.07181434,0.034074888,0.0918319,-0.034074903,0.0263642,-0.0918319,-0.026364207,-0.14357561,0.021191116,0.14357561,0.16163696,-0.021191103,-0.17083949,-0.07072728,0.107343376,0.10854229,-0.107343376,0.07072729,-0.10854231
"fext(2,2)",3.3527613e-08,9.778887e-08,-3.1664968e-08,-2.2351742e-08,-7.7299774e-08,2.2351742e-08,-4.0978193e-08,5.9604645e-08,3.7252903e-08,1.3038516e-08,-5.2154064e-08,-1.4901161e-08,-8.568168e-08,-2.9802322e-08,6.7055225e-08,2.7939677e-08,4.4703484e-08,-1.14319846e-07,-5.5879354e-08,5.820766e-09,7.264316e-08,-1.14087015e-08,5.9604645e-08,-8.707866e-08
"arc0_(0,0)",-7.450581e-09,5.9604645e-08,0.0,-1.1920929e-07,-2.9802322e-08,5.9604645e-08,-2.9802322e-08,-2.9802322e-08,1.4901161e-08,1.4901161e-08,2.9802322e-08,-1.4901161e-08,-5.2154064e-08,5.9604645e-08,4.4703484e-08,8.940697e-08,-4.4703484e-08,0.0,4.656613e-08,-2.6077032e-08,0.0,4.0978193e-08,-5.029142e-08,0.0
"arc1_(0,0)",-2.9802322e-08,-7.450581e-09,2.9802322e-08,2.9802322e-08,3.7252903e-08,-2.9802322e-08,-4.8428774e-08,0.0,4.4703484e-08,3.7252903e-09,0.0,-7.450581e-09,-4.0978193e-08,-7.450581e-09,5.8673322e-08,5.9604645e-08,-7.450581e-09,-1.4901161e-08,6.0535967e-09,-1.8626451e-09,3.5390258e-08,-1.8626451e-09,4.656613e-10,-4.004687e-08
"arc2_(0,0)",-1.6763806e-08,-1.1641532e-07,1.6763806e-08,8.288771e-08,1.07102096e-07,-6.61239e-08,5.296897e-09,9.313226e-10,-1.0186341e-08,2.6077032e-08,-9.313226e-10,-3.8417056e-08,4.656613e-09,3.259629e-09,-1.1175871e-08,4.0978193e-08,-8.381903e-09,2.2351742e-08,-3.5390258e-08,-8.381903e-09,1.8626451e-09,8.381903e-09,3.3527613e-08,-3.7252903e-09
"arc3_(0,0)",-2.9802322e-08,5.2154064e-08,2.9802322e-08,-2.6077032e-08,-4.4703484e-08,2.6077032e-08,-1.4901161e-08,-7.450581e-09,7.450581e-09,-2.2351742e-08,7.450581e-09,2.2351742e-08,1.8626451e-08,1.4901161e-08,-1.1175871e-08,0.0,0.0,4.4703484e-08,1.4901161e-08,1.3038516e-08,-2.9802322e-08,-2.7939677e-08,0.0,2.9802322e-08
"arc4_(0,0)",2.9802322e-08,2.9802322e-08,-1.4901161e-08,-1.8626451e-08,-2.2351742e-08,1.4901161e-08,3.7252903e-09,4.4703484e-08,0.0,1.0430813e-07,-5.9604645e-08,-8.940697e-08,2.6077032e-08,1.4901161e-08,-4.0978193e-08,2.9802322e-08,0.0,-2.9802322e-08,7.450581e-09,2.142042e-08,-4.4703484e-08,-1.5832484e-08,-1.4901161e-08,2.9802322e-08
"arc5_(0,0)",1.4901161e-08,-7.4505806e-08,-1.4901161e-08,-3.7252903e-08,7.4505806e-08,4.0978193e-08,3.7252903e-08,-3.7252903e-08,-2.2351742e-08,-1.8626451e-08,3.7252903e-08,4.8428774e-08,1.1641532e-09,1.4901161e-08,1.1641532e-08,0.0,-2.9802322e-08,-2.2351742e-08,-7.450581e-09,-2.0489097e-08,-2.9802322e-08,1.8626451e-09,7.450581e-09,2.2351742e-08
"arc0_(0,1)",-0.18170172,-0.0102840215,0.18170175,0.10291287,0.010284014,-0.10291288,-0.05434638,-0.08576387,0.054346383,-0.06095886,0.08576388,0.060958855,0.24210829,0.32424027,-0.24210833,0.07598664,-0.32424024,-0.106190264,0.07228034,0.15432906,-0.06517628,-0.15432906,-0.07228034,0.06517629
"arc1_(0,1)",-0.0055014677,-0.16874643,0.0055014566,0.13775904,0.16874641,-0.13775906,0.03553002,-0.18110512,-0.035530016,0.07254387,0.1811051,-0.07254387,0.06623644,-0.029644419,-0.06623643,-0.034059882,0.029644415,0.1527627,-0.2767611,-0.12590457,0.2352093,0.12590456,0.2767611,-0.23520929
"arc2_(0,1)",-0.21389487,0.08761987,0.21389483,0.37140986,-0.08761989,-0.37140986,-0.13800526,-0.14068285,0.13800527,-0.15073451,0.14068285,0.15073453,-0.012730163,0.110755734,0.012730144,0.15118018,-0.11075571,-0.24088004,-0.022716839,0.018005947,0.013565607,-0.018005963,0.02271684,-0.013565607
"arc3_(0,1)",0.099157795,-0.021610457,-0.09915778,-0.19522142,0.021610469,0.19522141,0.28275675,-0.09772582,-0.28275675,-0.322141,0.09772581,0.322141,-0.023146274,0.13058713,0.023146283,0.11238239,-0.13058713,-0.060383137,-0.038586088,-0.0045590065,0.017603854,0.0045589954,0.03858609,-0.017603856
"arc4_(0,1)",-0.06106379,-0.044215366,0.0610638,-0.15871592,0.044215377,0.15871593,0.06472391,-0.117345795,-0.06472391,0.06877119,0.11734581,-0.06877118,0.17372082,0.1264722,-0.1737208,-0.07807174,-0.12647223,0.21121673,-0.22611378,-0.08405393,0.32659054,0.08405394,0.22611378,-0.3265906
"arc5_(0,1)",0.15472002,-0.14614151,-0.15472004,0.10125361,0.1461415,-0.101253584,0.25356293,-0.16148509,-0.25356293,-0.31836817,0.1614851,0.31836817,-0.13063066,-0.025529569,0.13063066,0.15639418,0.025529573,-0.11883707,-0.08923346,-0.046409644,-0.07377744,0.04640965,0.08923345,0.07377745
"arc0_(0,2)",0.21676452,0.15341823,-0.21676451,0.15343556,-0.15341829,-0.15343553,0.1114738,0.15306513,-0.11147381,0.20625806,-0.15306513,-0.20625804,0.030463412,0.24835716,-0.030463418,0.21356402,-0.24835718,-0.13084722,-0.1349071,-0.11098391,0.007171399,0.11098391,0.13490711,-0.007171413
"arc1_(0,2)",-0.16014442,0.121399984,0.16014442,-0.1173387,-0.12139999,0.11733869,-0.052295387,0.014575906,0.05229539,-0.11410187,-0.014575914,0.114101864,0.06667627,-0.01533886,-0.066676274,-0.12029867,0.015338875,0.1680195,-0.2756201,-0.14685145,-0.35370243,0.14685145,0.2756201,0.35370243
"arc2_(0,2)",0.31806216,0.21995473,-0.31806216,0.10727991,-0.21995473,-0.107279904,-0.024877705,0.15968919,0.02487768,-0.03972307,-0.15968917,0.03972307,0.17771117,0.10344553,-0.17771111,-0.041253082,-0.10344554,-0.06808705,-0.03751044,-0.26195124,-0.037879713,0.26195124,0.03751044,0.03787972
"arc3_(0,2)",-0.20695996,-0.28457868,0.20695995,-0.042869084,0.28457865,0.042869095,0.02624764,0.18388133,-0.026247654,0.09962167,-0.18388134,-0.09962167,-0.08879584,0.12662308,0.08879583,0.21323833,-0.12662306,-0.2474271,0.01286222,-0.21717846,0.046034552,0.21717846,-0.012862235,-0.046034567
"arc4_(0,2)",-0.018276935,-0.05372299,0.018276928,-0.1385228,0.05372302,0.13852279,-0.17820159,-0.0465499,0.17820159,0.09388091,0.046549905,-0.09388089,-0.13793588,0.08742652,0.1379359,0.16616814,-0.08742653,-0.07494701,-0.38303024,0.05252393,-0.26396787,-0.052523933,0.38303024,0.2639679
"arc5_(0,2)",-0.105662204,-0.21804218,0.1056622,-0.089024864,0.21804218,0.08902485,-0.11010378,0.19050539,0.11010379,-0.1463594,-0.19050536,0.1463594,0.058451984,-0.018288514,-0.058451988,-0.041578818,0.01828852,-0.18466692,0.110259056,-0.36814585,0.0009833574,0.36814585,-0.11025904,-0.0009833425
"arc0_(1,0)",0.0058465684,-0.008839162,-0.0058465702,-0.03816338,0.008839166,0.038163375,0.01885561,0.012094586,-0.018855607,-0.031202925,-0.01209459,0.031202924,0.039461106,0.047980946,-0.039461102,0.021894792,-0.047980964,-0.07222964,0.011869505,0.5459801,-0.0059705023,0.4540199,-0.011869498,0.005970495
"arc1_(1,0)",-0.008649037,0.026798552,0.00864903,0.043483917,-0.02679854,-0.043483928,-0.04758034,-0.08215769,0.047580346,0.005684642,0.08215769,-0.0056846384,-0.026105225,-0.02520417,0.026105214,-0.0010240402,0.02520418,0.062827826,0.024497245,-0.087151706,0.4922242,0.08715168,-0.024497245,0.5077758
"arc2_(1,0)",-0.0058465684,0.008839162,0.0058465702,0.03816338,-0.008839166,-0.038163375,-0.01885561,-0.012094586,0.018855607,0.031202925,0.01209459,-0.031202924,-0.039461106,-0.047980946,0.039461102,-0.021894792,0.047980964,0.07222964,-0.011869505,0.4540199,0.0059705023,0.5459801,0.011869498,-0.005970495
"arc3_(1,0)",0.008649027,-0.02679854,-0.008649005,-0.043483935,0.026798544,0.04348393,0.04758032,0.0821577,-0.047580335,-0.0056846314,-0.0821577,0.005684639,0.026105177,0.025204197,-0.02610517,0.0010240731,-0.025204195,-0.062827796,0.47550267,0.0871517,0.0077758096,-0.0871517,0.5244973,-0.0077758227
"arc4_(1,0)",0.008649037,-0.026798552,-0.00864903,-0.043483917,0.02679854,0.043483928,0.04758034,0.08215769,-0.047580346,-0.005684642,-0.08215769,0.0056846384,0.026105225,0.02520417,-0.026105214,0.0010240402,-0.02520418,-0.062827826,-0.024497245,0.087151706,0.5077758,-0.08715168,0.024497245,0.49222416
"arc5_(1,0)",-0.008649027,0.02679854,0.008649005,0.043483935,-0.026798544,-0.04348393,-0.04758032,-0.0821577,0.047580335,0.0056846314,0.0821577,-0.005684639,-0.026105177,-0.025204197,0.02610517,-0.0010240731,0.025204195,0.062827796,0.5244973,-0.0871517,-0.0077758096,0.0871517,0.47550267,0.0077758227
"arc0_(1,1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc1_(1,1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc2_(1,1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc3_(1,1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc4_(1,1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc5_(1,1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc0_(1,2)",0.5351211,-0.071994565,0.46487898,0.08432379,0.07199455,-0.084323816,-0.05149597,-0.046626445,0.051495984,0.031649236,0.046626445,-0.031649236,-0.045548886,0.011607225,0.04554887,0.014698852,-0.011607226,0.019080244,-0.03138,-0.0076074973,0.015188844,0.0076074824,0.03138001,-0.015188855
"arc1_(1,2)",-0.035121128,0.57199454,0.035121143,-0.0843238,0.42800546,0.08432381,0.05149596,0.0466264,-0.051495958,-0.03164922,-0.0466264,0.031649217,0.045548864,-0.011607207,-0.04554888,-0.0146988565,0.0116072055,-0.0190802,0.03138002,0.0076074973,-0.015188836,-0.00760749,-0.03138002,0.01518885
"arc2_(1,2)",0.46487898,0.071994565,0.5351211,-0.08432379,-0.07199455,0.084323816,0.05149597,0.046626445,-0.051495984,-0.031649236,-0.046626445,0.031649236,0.045548886,-0.011607225,-0.04554887,-0.014698852,0.011607226,-0.019080244,0.03138,0.0076074973,-0.015188844,-0.0076074824,-0.03138001,0.015188855
"arc3_(1,2)",0.044273492,-0.11432318,-0.04427349,0.5764191,0.11432318,0.4235808,-0.034234397,0.02597891,0.034234397,0.0076643857,-0.02597891,-0.0076643894,0.0062128827,0.046368185,-0.006212895,0.0032770878,-0.046368208,0.02175124,-0.042566244,0.06162867,0.012284018,-0.061628662,0.042566244,-0.012284018
"arc4_(1,2)",0.035121128,0.42800546,-0.035121143,0.0843238,0.5719946,-0.08432381,-0.05149596,-0.0466264,0.051495958,0.03164922,0.0466264,-0.031649217,-0.045548864,0.011607207,0.04554888,0.0146988565,-0.0116072055,0.0190802,-0.03138002,-0.0076074973,0.015188836,0.00760749,0.03138002,-0.01518885
"arc5_(1,2)",-0.044273492,0.11432318,0.04427349,0.42358077,-0.11432318,0.5764192,0.034234397,-0.02597891,-0.034234397,-0.0076643857,0.02597891,0.0076643894,-0.0062128827,-0.046368185,0.006212895,-0.0032770878,0.046368208,-0.02175124,0.042566244,-0.06162867,-0.012284018,0.061628662,-0.042566244,0.012284018
"arc0_(2,0)",-0.0024291452,-0.013810992,0.0024291452,0.01314931,0.013810998,-0.013149308,0.61753994,-0.08282416,0.38246015,0.14043826,0.08282416,-0.14043826,-0.042955175,-0.035690054,0.042955186,0.015233912,0.035690054,-0.09415811,0.041505635,-0.04627838,-0.0795325,0.046278372,-0.04150563,0.0795325
"arc1_(2,0)",-0.011588571,-0.014735013,0.011588578,0.09147706,0.014735014,-0.09147705,-0.06272747,0.6550301,0.06272749,-0.14629129,0.34496993,0.14629127,0.015213187,-0.049265362,-0.015213181,-0.049740605,0.04926537,0.10274283,-0.08995204,0.057398297,0.057582796,-0.057398297,0.08995204,-0.0575828
"arc2_(2,0)",0.0024291452,0.013810992,-0.0024291452,-0.01314931,-0.013810998,0.013149308,0.38246015,0.08282416,0.61753994,-0.14043826,-0.08282416,0.14043826,0.042955175,0.035690054,-0.042955186,-0.015233912,-0.035690054,0.09415811,-0.041505635,0.04627838,0.0795325,-0.046278372,0.04150563,-0.0795325
"arc3_(2,0)",-0.0024291587,-0.013810984,0.0024291587,0.013149294,0.013810987,-0.013149287,0.11753976,-0.08282413,-0.11753976,0.64043814,0.08282413,0.35956174,-0.04295518,-0.035690036,0.042955175,0.0152338995,0.035690054,-0.09415811,0.041505616,-0.04627835,-0.07953246,0.046278358,-0.041505612,0.07953247
"arc4_(2,0)",0.011588571,0.014735013,-0.011588578,-0.09147706,-0.014735014,0.09147705,0.06272747,0.34496993,-0.06272749,0.14629129,0.6550301,-0.14629127,-0.015213187,0.049265362,0.015213181,0.049740605,-0.04926537,-0.10274283,0.08995204,-0.057398297,-0.057582796,0.057398297,-0.08995204,0.0575828
"arc5_(2,0)",0.0024291587,0.013810984,-0.0024291587,-0.013149294,-0.013810987,0.013149287,-0.11753976,0.08282413,0.11753976,0.35956174,-0.08282413,0.64043814,0.04295518,0.035690036,-0.042955175,-0.0152338995,-0.035690054,0.09415811,-0.041505616,0.04627835,0.07953246,-0.046278358,0.041505612,-0.07953247
"arc0_(2,1)",-0.001999503,-0.00088960683,0.0019994956,-0.0068883523,0.00088960637,0.00688836,-0.0013354196,-0.036608413,0.0013354187,0.0060408744,0.036608405,-0.006040869,0.6929443,-0.15974292,0.30705568,0.13834168,0.1597429,-0.109330654,-0.026909646,-0.0033545047,-0.010791965,0.0033545047,0.026909646,0.010791972
"arc1_(2,1)",0.001999459,0.0008896266,-0.0019994702,0.0068883444,-0.000889619,-0.006888352,0.0013354471,0.0366084,-0.0013354431,-0.006040854,-0.0366084,0.006040854,-0.19294432,0.65974283,0.19294436,-0.13834168,0.34025708,0.109330684,0.026909621,0.0033545122,0.010792004,-0.0033545122,-0.026909614,-0.010791993
"arc2_(2,1)",0.001999503,0.00088960683,-0.0019994956,0.0068883523,-0.00088960637,-0.00688836,0.0013354196,0.036608413,-0.0013354187,-0.0060408744,-0.036608405,0.006040869,0.30705565,0.15974292,0.6929442,-0.13834168,-0.1597429,0.109330654,0.026909646,0.0033545047,0.010791965,-0.0033545047,-0.026909646,-0.010791972
"arc3_(2,1)",-0.017940104,0.034525115,0.017940119,-0.038764138,-0.03452512,0.038764127,-0.021535292,0.058024563,0.021535289,0.0035164629,-0.058024548,-0.0035164722,0.096754536,-0.16159853,-0.096754536,0.73869634,0.16159853,0.22291508,0.021416884,0.021808397,0.02288627,-0.021808397,-0.021416876,-0.022886267
"arc4_(2,1)",-0.001999459,-0.0008896266,0.0019994702,-0.0068883444,0.000889619,0.006888352,-0.0013354471,-0.0366084,0.0013354431,0.006040854,0.0366084,-0.006040854,0.19294432,0.34025708,-0.19294436,0.13834168,0.65974295,-0.109330684,-0.026909621,-0.0033545122,-0.010792004,0.0033545122,0.026909614,0.010791993
"arc5_(2,1)",0.04736021,-0.06288214,-0.047360227,0.046826866,0.06288212,-0.046826858,-0.052939214,0.03940953,0.0529392,-0.034929406,-0.039409537,0.03492942,-0.14555852,0.1366963,0.1455585,0.30037603,-0.13669628,0.61241585,0.14596342,-0.07882594,-0.06407216,0.07882595,-0.14596343,0.06407216
"arc0_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc1_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc2_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc3_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc4_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc5_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
